name,latitude,longitude,address,phone,status,category,image_url
BIM Stores,32.7730557,-6.3958225,,,,3.8(131),
BIM Stores,32.1064455,-9.0881056,,+212 627-523860,,4.2(48),
BIM Stores,32.2812932,-6.4547857,,,,4.0(66),
BIM Stores,32.2991863,-6.7011524,,,,2.7(6),
بيم,33.3717597,-7.5358044,,+212 5226-77480,,3.9(243),
BIM Stores,33.6815046,-7.3829104,,,,4.0(46),
BIM بيم,33.4518374,-7.5131917,,,,4.0(160),
BIM بيم,33.5395182,-7.5832997,,,,4.2(86),
"Bim, rue saad abou joumaa",33.5739949,-7.5588394,,,,3.8(110),
BIM Store,33.6125129,-7.4990661,,,,3.9(203),
Bim,33.5718371,-7.478216,,,,5.0(4),
BIM Stores,33.5688494,-7.5810663,,,,4.0(135),
BIM بيم,33.6028604,-7.5102442,,,,4.1(164),
بيم,33.5739649,-7.5677721,,,,3.8(105),
BIM بيم,33.543781,-7.5839805,,+212 617-364278,,3.8(49),
BIM Stores,33.689757,-7.3917216,,+212 620-385628,,4.0(412),
BIM BD Grande Ceinture,33.5828745,-7.5534485,,+212 5226-77480,,4.1(118),
BIM بيم,33.6205425,-7.4870393,,,,3.8(60),
BIM Stores,33.692295,-7.365674,,,,4.0(2),
BIM بيم,33.5816425,-7.5609737,,,,3.5(8),
بيم,33.5338515,-7.7936072,,,,4.0(122),
Bim,33.5822431,-7.5511305,,,,3.3(7),
BIM Stores,33.6086755,-7.5451663,,+212 645-914156,,4.0(123),
BIM,33.5394812,-7.5767698,,,,5.0(1),
Bim,32.9113804,-7.2606574,,,,3.8(4),
BIM Hay sadri,33.57072,-7.5547284,,,,4.1(29),
Bim,33.4288088,-6.0005189,,+212 642-620037,,5.0(8),
BIM MAGHFOUR,33.5731389,-7.5288139,,,,4.3(10),
BIM Stores,33.6085296,-7.5204635,,,,3.7(46),
Bim,33.6891322,-7.3784581,Bd de la Résistance,,,4.1(42),
BIM بيم,33.5725045,-7.5320476,,,,4.0(64),
بيم,33.6879762,-7.3508308,,,,4.1(24),
BIM Stores Hay salama,33.5608883,-7.5601229,,,,5.0(3),
Bim auxilare,33.5753277,-7.5517827,,,,4.3(7),
BIM zekraoui,32.7708237,-6.3818087,,,,雜貨店,
Bim Hay Douma,33.5800108,-7.5345973,,,,4.0(188),
BIM Stores,33.6850673,-7.3729745,,,,3.8(190),
BIM بيم,33.4561455,-7.5145677,,,,3.6(31),
BIM بيم,33.5837799,-7.4811557,,+212 5226-79292,,4.1(135),
BIM Brahim nakhai,33.578008,-7.6394303,,,,3.6(48),
Bim - Derb El Khir,33.5534177,-7.5921013,,,,4.4(14),
BIM بيم,33.5949428,-7.5579953,,,,4.1(31),
"BIM Al Forkan, Casablanca Bernoussi.",33.6048237,-7.5151825,,,,4.1(28),
بيم,33.5616459,-7.5767702,,,,4.0(10),
BIM بيم,33.5450898,-7.5629218,,+212 5226-79292,,4.2(58),
بيم,33.460906,-7.6480555,,+212 779-532714,,3.7(109),
بيم,33.693035,-7.38019,Bd Al Horriya,,,3.9(366),
BIM بيم,33.5374239,-7.5686111,,+212 693-433701,,3.8(34),
BIM FADL LAH,33.5564454,-7.5137159,,,,4.1(71),
BIM salmya 2,33.5367015,-7.5519114,,,,3.8(123),
BIM بيم,33.5879259,-7.6335073,,,,4.2(49),
BIM Alia,33.6929096,-7.3842054,,,,4.5(4),
BIM بيم,33.391219,-7.555358,,,,3.8(17),
BIM Stores,32.5979671,-6.26497,,,,3.9(94),
بيم المسيرة bim almassira,33.3978184,-7.5310399,,+212 606-717948,,5.0(2),
BIM,33.5680101,-7.5315061,,,,4.1(36),
BIM Afriquia,33.5531152,-7.5897206,,+212 663-783495,,4.3(70),
Bim بيم,33.5795552,-7.5113685,,+212 612-924320,,3.7(71),
Bim,33.5721721,-7.5177654,,,,4.3(49),
BIM BEN OMAR BACHKO,33.5557902,-7.6286206,,,,2.0(2),
BIM Stores,33.5904841,-7.5049381,,,,4.0(97),
BIM Victoria,33.4164803,-7.6763676,,,,4.1(73),
Bim,33.4165836,-7.5381681,,,,便利店,
BIM بيم,33.592694,-7.4882595,,,,3.8(98),
BIM Stores,33.6131492,-7.1216223,,,,3.9(142),
BIM,32.9003814,-6.9074256,,,,3.3(3),
BIM Stores,32.8621449,-6.907536,,,,3.8(52),
BIM Stores,32.4963598,-6.6985002,,,,4.0(80),
BIM Stores,33.6865596,-7.3920042,"ELALIA, DERB MARRAKECH, 13 AVENUE MAGHRIB ALARABI",,,5.0(1),
BIM Attacharok,33.5759375,-7.5179375,,,,4.2(50),
بيم,32.3343419,-6.3646669,,,,4.0(189),
BIM بيم,33.6126757,-7.5285342,,,,4.0(169),
BIM,33.5262383,-7.5255181,,,,4.5(2),
BIM Errahma.,33.5378825,-7.7180373,,+212 5220-21324,,4.0(124),
BIM,32.881366,-6.9143325,,,,4.0(222),
BIM بيم,33.577917,-7.5430353,,+212 655-088450,,4.1(208),
BIM Stores,32.8731203,-6.925073,,,,3.9(262),
BIM Stores,33.6668341,-7.3930009,,,,商店,
بيم,33.5845622,-7.5215335,,,,3.8(133),
Bim jawhara,33.3830753,-7.5259311,,,,4.1(12),
BIM,33.5871196,-7.4728402,,,,雜貨店,
Bim Store,34.0416793,-5.0108913,,,,3.3(3),
MAGASIN BIM,34.0225096,-5.0272797,,,,5.0(1),
Bim karawiyin,34.0041664,-5.0120958,,,,1.0(1),
BIM,34.0338867,-4.9943987,,,,3.8(238),
BIM,34.0086776,-5.0094424,,,,4.1(181),
Bim,34.0373746,-5.0080255,,,,4.0(123),
Bim hay anass,34.0037797,-5.00167,,,,商店,
BIM,34.0628472,-5.006807,,,,3.9(138),
Marjane,35.2460476,-3.938886,,+212 80-2022050,,"3.6(1,275)",
BIM Al Majd,35.7400405,-5.7985763,,,,4.0(167),
BIM Stores,34.230369,-3.341608,,,,3.7(26),
Boutique imad,35.2567306,-3.9334163,,,,3.9(10),
Super market turkey,35.2646373,-2.9320564,,,,4.0(4),
BİM,33.4286335,-7.8377096,,,,3.9(84),
Bim dakhama 3 بيم الضخامة,33.4119875,-7.8499219,,,,3.6(38),
Bim,33.423781,-7.8495765,,,,雜貨店,
BIM Stores,33.2533115,-8.5126615,,+212 5226-79292,,4.0(89),
BIM بيم,33.2251917,-8.4992438,,+212 631-439062,,3.8(252),
BIM Stores,33.2315082,-8.5183715,,,,4.7(6),
BIM بيم,33.2284855,-8.50728,,,,4.1(111),
BIM Stores,33.233876,-8.5312181,,,,3.7(7),
BIM بيم,33.2385111,-8.5075643,,+212 615-407557,,3.8(105),
بيم,33.2458436,-8.5187146,,,,3.7(68),
BIM Stores,33.2506442,-8.5035741,,+212 682-146985,,3.7(55),
BIM Stores,33.2418038,-8.5310572,,,,4.0(33),
BIM Stores,33.2347351,-8.4936106,,+212 5226-79292,,4.0(66),
Bim Stores بيم,33.2373657,-8.5267679,,,,3.5(6),
BIM HAY ALMATAR,33.2336908,-8.5230869,,,,5.0(1),
BIM YACOUT EL JADIDA,33.2382292,-8.5324412,,,,便利店,
Bim,33.2524169,-8.5240302,,,,超級市場,
BIM Stores,33.266742,-7.587614,,,,3.9(555),
BIM Stores,33.2682593,-7.5713731,Bd Hassan 2,+212 606-060101,,3.9(26),
Bim بيم,33.2725218,-7.5836301,,,,4.6(7),
BIM Baidii 3,33.262312,-7.5665576,,,,2.0(1),
bim Sidi Amer,33.2746529,-7.5769711,,,,3.0(2),
BIM Market,33.2610871,-7.5984829,,,,超級市場,
BIM RABIEA,33.2634784,-7.5928861,,,,超級市場,
Bim Ajeyad,33.2610537,-7.5978291,,,,超級市場,
BIM بيم,33.276301,-7.5897181,"7CG6+G4F, Avenue Omar Al Khayam",,,3.9(45),
BIM LAYALI,33.2753189,-7.5855478,,,,超級市場,
متجر الفقيه,33.2553019,-7.5714438,,+212 632-515198,,5.0(6),
BIM,35.7856474,-5.8313157,,,,4.5(24),
BIM Plaza Toro,35.7631691,-5.7950355,,,,4.1(128),
Bim بيم,35.7566839,-5.8521337,,,,3.8(100),
BIM Moulay Rachid,35.7642151,-5.8366065,,+212 615-345021,,4.0(323),
BIM بيم,35.7683249,-5.8068259,,,,4.3(24),
BIM بيم,35.7727454,-5.8166327,,,,4.4(11),
Bim,35.7778092,-5.8207057,,,,4.0(24),
BIM BESIKTAS,35.7692527,-5.8163257,,,,4.2(28),
BİM بيم,35.7535929,-5.7977699,,,,3.8(80),
BIM saoudia(ahlan),35.7441169,-5.8310428,,,,4.6(5),
BIM,35.7717983,-5.8004946,,,,4.7(3),
Bim Stores S.a.R.L Ibn Battuta,35.7365561,-5.8535812,,,,3.8(201),
BIM Yasmina 2 Tanger,35.771938,-5.8072808,,,,4.0(191),
Bim gzenaya,35.709962,-5.90319,,,,4.5(8),
Bim supermarket,35.7564427,-5.8402603,,,,3.9(88),
BIM Ave. Moulay Suleiman,35.7618837,-5.8129405,,+212 5226-79292,,3.9(263),
Bim - Zemmouri 1,35.7499569,-5.8339907,,+212 620-271545,,4.3(19),
BIM,35.7349419,-5.8811701,,,,4.4(16),
BIM MERCHANE,35.7876658,-5.8242412,,,,3.9(35),
"Magazin ""Lahri""",35.7331036,-5.8829668,,+212 600-392426,,4.1(32),
BIM - Complexe Annour,35.7302893,-5.8536523,,,,3.0(5),
BIM BRANES,35.7599551,-5.8327043,,+212 5226-79292,,商店,
B2M BOX,35.771259,-5.8066422,"RDC N°10, centre NREA 183, Avenue Prince Héritier, Tanger 90020",+212 604-949063,,3.0(1),
Bim store,33.595543,-7.5004746,,+212 779-067236,,4.3(3),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqpV5h8XXfYrXBOAFPFoGDz7ROtGA7L2C85i0Juul2y328J2rQbgGx4LJ0DQyCUpz5Gzh8l41XlrKinxzwtQ3PitG7hJhegLDoWoNGwPbA62ki_DWMidOn0DA2DctPKv54b1adk=w80-h142-k-no
BIM STORE HAY ENNOUR,33.5490096,-7.5571329,,,,5.0(1),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
BIM CASA SIDI MOHAMED,33.5795191,-7.6233257,,,,1.0(1),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
BIM بيم,33.5189053,-7.6444099,,,,3.7(73),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrhfhEKnJC5qP4kLSsSDGxoeE_z2bHXFjk_BJ95Bc0-X4zmGniXbYQeIq30y7zuOeyQ7R7vEE27ijsM7TDwXGWS6umR9gH1_zQvb6vTOSlQCHi9Umy_HwRBMOWLpX5ooTnXcI_7=w163-h92-k-no
Bim بيم,33.525664,-7.6609089,,,,3.9(84),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr6yTPPbd-Fh3mBPQM_fg7UI6nW06H8kKj8mQJrnmrAStRfx3hGcxAqr9JEdTPadBS_90B-xtNXcI4YISJ73QN-OL_rLn9sKBLfHu7D_8E26THtAR5-nE0LIFJi-ZMXwjb3Hp0ZcQ=w80-h106-k-no
BIM بيم,32.8293075,-8.5128288,,,,3.9(48),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPSQYTL481kPUfDJvn4bE-8RJ7MmJyobthvJJcZ0mLwl2ySV7eddzthZHBJimlQTV3f3Gr2qM9yqRi74KGSK5EkllsNaTaucfoT_0OiIjoYjeDVzOyTTxnqdnht-S01Di0UvU=w122-h92-k-no
BIM,32.0801242,-8.6276209,,,,3.0(2),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqqJLkI_kqBV_J177sAlngbTr9e2F5TVSCiHupXS9NoirRv5qZ0m4Qd4d4GoIovaEfBQ1CWdlyNVjueNPn1gqLfoAWOu11i4pUbNFCspQ2ufzC9Z9bQCU9A5PsXfHXbNkShxpmMZm84jNOL=w120-h92-k-no
Bim stores,34.2283932,-5.7275144,,,,便利店,//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
BIM Stores,33.5867102,-7.5030369,,,,3.8(15),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqO5_SvpEBC6a-UhU4dFGFbIK2u7bn81imLH81KM3KP1vc1-w7fMAWZi4ZqUaGS9KTt5XoXClHjQ68k1ihGH0zfBeF2Ym96P5qkl5AMv1sX_PMk71QuWnveTvuW14hw2fO5uIaKNw=w163-h92-k-no
BIM Stores,33.596007,-7.5152291,,+212 631-324518,,4.4(11),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqwkD2iOdjvC4aDAMYO9ODlvuxu_gvXkd31IbbnsYM2WR8fp65-6CUhcUsv7dq9fEEBUkPVWzTHct3IzhvWcsqv-WQ4Kmn95juAIZTGOA7ciQN-Lw9Dtsq4yovPASoJLXksK4s4CQ=w189-h92-k-no
BIM SIDI SAID,33.8913778,-5.5803694,,+212 5355-21819,,3.9(155),https://lh3.googleusercontent.com/gps-cs-s/AC9h4npIfNlEnTvsXCS-zLZixi_zOhspkxjoES9Ps7dM4EtEE3_hd_FIwNyJ7GYY1oHywFuQ_A5XV5Nvh45HNaXYMKm1xQ3gqandLAmFCT1R9AjJywuHDTd-S_czRY5h4vgFeVfsnvlw=w122-h92-k-no
بيم,34.3073785,-6.3002489,,,,4.2(14),//maps.gstatic.com/tactile/pane/result-no-thumbnail-1x.png
