name,latitude,longitude,address,phone,status,category,image_url
Marjane market bo village,33.4811093,-7.63842,,,,3.8(61),
Marjane Market Belvédère,33.5966033,-7.5892618,,+212 610-832543,,3.7(23),
Marjane Market,33.2243006,-8.4930257,,+212 80-2022050,,4.0(120),
مرجان ماركت,31.6291789,-8.0792534,,+212 80-2022050,,"4.0(1,414)",
Marjane Market,33.5865579,-7.6327733,,,,3.8(746),
مرجان ماركت التقدم,32.3473017,-6.3422068,,,,4.4(19),
Marjane City,33.5937175,-7.5982247,,,,3.5(4),
Marjane Market AL FOURATE,33.5806494,-7.6416303,,+212 610-720922,,3.9(40),
Marjane Market,34.2549769,-6.5991122,,+212 5229-89055,,3.8(681),
Marjane Market,30.4210541,-9.5941386,,,,3.5(121),
Marjane Market Ahmed Chaouki,34.2679749,-6.593632,,,,4.2(61),
Marjane Derb Sultan,33.5618262,-7.5935485,,+212 80-2022050,,"3.8(5,519)",
Marjane Market,33.5667455,-7.6559706,Bd Sidi Abderrahmane,,,3.8(635),
Marjane Market Bd Panoramique,33.5530393,-7.6082907,,,,4.0(114),
Marjane Market,33.594811,-7.6515574,,+212 5223-98506,,3.7(518),
Marjane Bouskoura,33.4390625,-7.6331875,,+212 80-2022050,,4.3(949),
Marjane Market,30.3991502,-9.5384557,,,,4.0(304),
Marjane market parc mohammedia,33.7039038,-7.3973377,,,,3.8(439),
Marjane Market,33.5745808,-7.6499949,,,,3.7(102),
Marjane Lmkharj,31.3402606,-5.3403139,,,,5.0(4),
Marjane Marina,33.60714,-7.6218121,,+212 80-2022050,,"4.2(1,176)",
Marjane market val fleuri,33.5723523,-7.6372522,,,,3.0(2),
Marjane Market Les Hôpitaux,33.5794659,-7.6243069,,+212 80-2022050,,3.9(120),
Marjane Menara,31.6663425,-8.0126948,,,,"3.8(1,210)",
Marjane Nador,35.131834,-2.9170766,,+212 80-2022050,,"3.8(2,143)",
Marjane Sidi Othmane,33.5459551,-7.549544,,+212 80-2022050,,"3.8(1,985)",
Marjane market,33.5411161,-7.671953,,,,超級市場,
Marjane City la ferme bretonne,33.5640008,-7.6468136,,,,4.8(5),
Marjane Market Ibn Tachfine,33.5845682,-7.5723604,,+212 670-882456,,3.9(141),
Marjane Market Taddart,33.5551486,-7.6244508,,+212 80-2022050,,3.3(49),
Marjane Market,33.5355106,-7.5764712,,,,3.9(16),
Marjane,34.2411552,-6.5701457,,+212 80-2022050,,"4.1(1,134)",
Marjane Market Dar Bouazza,33.5380632,-7.7674853,,,,3.8(292),
Marjane Mohammedia,33.7076488,-7.3471002,,+212 80-2022050,,"4.0(5,067)",
Marjane Market,33.9374037,-6.9399435,,,,3.8(64),
Marjane City,33.5865897,-7.639826,,,,3.7(19),
Marjane Market oulfa,33.5476804,-7.6778279,,+212 80-2022050,,4.1(367),
Marjane Market,33.5896542,-7.5991857,,+212 675-985009,,雜誌店,
Marjane Market,33.5706276,-7.6524626,,,,3.8(13),
Marjane Californie,33.5446815,-7.6407748,,+212 80-2022050,,"4.0(7,337)",
Marjane SAFI,32.2979375,-9.2155625,,+212 80-2022050,,"4.0(1,364)",
Marjane Market,33.423856,-7.6697795,,,,超級市場,
Marjane market,33.5453494,-7.6860341,,,,超級市場,
Marjane Market,33.6141174,-7.1184613,,,,3.7(21),
Marjane Market,33.5944978,-7.5953088,,+212 80-2022050,,3.7(893),
Marjane market,32.2885319,-9.2267152,,+212 5246-23549,,3.7(759),
Marjane El Jadida,33.2247981,-8.5295126,N°12، Marjane، Centre Commercial، Avenue Allal Al Fassi,+212 80-2022050,,"3.9(2,329)",
Marjane Market,33.5879236,-7.6124881,,+212 5224-42112,,3.7(716),
Marjane Market,34.2581904,-6.5864674,,,,3.6(28),
Marjane Market Oasis,33.5556383,-7.6436149,,,,3.5(33),
Marjane Market Bouskoura,33.4755003,-7.6067308,,+212 80-2022050,,3.6(144),
Marjane Market El Hajeb,33.6747362,-5.372669,,,,3.6(316),
Marjane Market,33.9207546,-6.9242325,,+212 5376-40057,,3.7(348),
Marjane Market,32.3432556,-6.3606186,,+212 80-2022050,,"3.8(2,354)",
Marjane Larache,35.1483843,-6.1411007,,+212 80-2022050,,"3.8(1,366)",
Marjane Ibn Tachefine,33.5861495,-7.5927013,Bd Ibn Tachfine,+212 80-2022050,,"4.1(2,880)",
Marjane Market Beni-Mallal,32.3302647,-6.3668678,,,,3.6(5),
Marjane Market,33.6042633,-7.5196052,,+212 5222-40081,,3.8(500),
Marjane,35.2460476,-3.938886,,+212 80-2022050,,"3.6(1,275)",
Centre-Commercial Marjane المركز التجاري مرجان,34.2317227,-4.008906,,+212 80-2022050,,3.7(988),
Marjane Berkane,34.9190291,-2.3442749,,+212 80-2022050,,"3.9(1,217)",
مرجان ماركت,32.0550961,-7.4002872,,+212 80-2022050,,3.8(713),
Marjane Market,31.9308705,-4.4532485,,+212 691-071708,,3.7(713),
Majane market,33.5665272,-7.6279822,,+212 5229-89055,,3.8(211),
Marjane Market,33.8020231,-7.1756051,,,,4.1(179),
TAIBA MARKET,33.8520547,-7.0367418,,,,4.1(165),
Mini marché Skhirat,33.8522598,-7.0375701,,,,3.6(109),
Marjane Aïn Sebaâ,33.5958353,-7.5318674,,+212 80-2022050,,"3.8(4,162)",
Marjane Market,33.5397915,-7.6012355,,+212 621-008825,,"3.8(1,233)",
Marjane Morocco Mall,33.5746443,-7.7084383,,+212 80-2022050,,"4.1(2,670)",
Marjane Market Roches Noires,33.6005108,-7.5773097,,,,4.0(22),
Marjane market paquet,33.592961,-7.6086715,,,,超級市場,
Marjane Market kasbah,33.6967232,-7.3897541,,,,3.5(4),
Marjane Market Sidi Moumen,33.5902928,-7.5244917,,,,5.0(2),
Marjane Market,33.5993219,-7.6468012,,,,3.3(7),
Marjane City Nahda,33.9760809,-6.8194846,"X5GJ+C6J &, Avenue Ahmed Reda Guedira, Rue Bani Imrane",,,3.2(13),
Marjane City Gauthier,33.5887842,-7.6282145,,,,4.3(10),
Central Market,34.796995,-5.5777529,,,,3.8(136),
BIM MARJANE 2,33.8589036,-5.5761684,,+212 680-431148,,3.8(198),
Marjane Kénitra 2,34.2356414,-6.679455,,+212 80-2022050,,4.7(3),
Aswak Assalam Kénitra,34.2473044,-6.6087199,,+212 5373-70246,,"3.9(2,584)",
Marjan2,33.8586839,-5.5745727,,,,1.0(1),
Atacadão Market,34.2248347,-5.7156265,,+212 5375-97400,,3.8(276),
ELECTROPLANET,33.8543839,-5.5820419,,+212 80-2010102,,3.7(206),
Kiabi,33.854606,-5.582941,,+212 5354-58066,,3.7(126),
STE M2B,33.8872863,-5.5408495,,+212 661-365780,,市場,
Flo,33.8555925,-5.5825968,,+212 5354-70649,,3.5(31),
Citroën Kénitra,34.2417052,-6.5718206,,+212 660-524868,,5.0(2),
Mehdia Market,34.2595515,-6.6660243,,+212 617-841972,,3.6(10),
مرجان سيدي قاسم,34.2245279,-5.6977237,,,,3.0(2),
Supermarché El Menzeh,33.8566784,-6.8545494,,+212 5370-11919,,3.9(81),
Atacadão,34.28222,-6.53646,,+212 5373-89700,,4.1(206),
Marché,34.2629463,-5.927391,,+212 667-021582,,4.0(180),
Premier supermarket,33.951073,-6.8855635,,+212 664-267804,,5.0(2),
Marjane Market,32.8879849,-6.9068089,Bd Mohammed VI,+212 80-2022050,,"3.8(1,784)",
Le Maroquin - Marjane Bouregreg Rabat,34.0189572,-6.8164342,,+212 5377-08757,,4.5(2),
Marjane Auto,33.9717266,-6.8933889,,+212 666-187046,,4.4(44),
مرجان ماركت سيدي عثمان,33.5602943,-7.561518,,+212 5223-77973,,3.7(782),
Carrefour Market Khemisset,33.827155,-6.090854,,+212 80-0000003,,3.7(530),
Marjane Market,32.5114375,-6.6813125,,+212 80-2022050,,3.7(655),
Marjane Market Chefchaouni,33.6112688,-7.53154,,,,3.7(17),
Marjane centre commercial,33.5682483,-7.6203758,,,,5.0(1),
Marjane Market,33.4996269,-7.6094954,,,,購物中心,
Margane Liberte,33.5878879,-7.612421,,,,5.0(2),
Atacadao Ain Sebaa,33.596163,-7.522316,,+212 80-0000003,,"3.7(2,224)",
مينيسو,33.7083648,-7.3465199,,+212 5233-29596,,4.1(62),
Acima Sa,33.555536,-7.630648,,+212 5290-21000,,3.3(3),
Aswak Assalam Mohammedia,33.6883947,-7.4008929,Bd Hassan II,+212 5233-06600,,"3.9(2,069)",
Mievic Inara,33.5397915,-7.6012355,,+212 762-569715,,3.6(8),
Flormar Marjane Bouskoura,33.4390838,-7.6325288,,,,3.0(2),
Carrefour Market,33.596779,-7.592911,,+212 80-0000003,,4.0(216),
Cuisin'Affaires,33.595127,-7.6514831,,+212 5223-05176,,4.1(530),
بيم,33.6879762,-7.3508308,,,,4.1(24),
Marjane Logistique,33.3898862,-7.5387669,,+212 5290-25300,,3.8(66),
Marjane Market - Oulad Teima,30.3945636,-9.2100872,,+212 658-495125,,4.6(32),
Marjane Inezgane,30.359531,-9.5251622,,+212 80-2022050,,3.8(787),
Marché Tit Mellil,33.5489604,-7.4872921,,,,3.7(3),
Souk Ouald Mina(السعادة ),33.5686798,-7.6741414,Bd Ibnou Sina,,,"3.6(1,416)",
ANIMALERIE MARJANE,33.5682869,-7.6444608,,+212 656-541653,,2.0(63),
Orange Hay Hassani,33.5731677,-7.672453,,+212 675-015600,,4.1(13),
Gustus épicerie fine et traiteur,33.5376875,-7.7680625,,+212 665-442910,,5.0(6),
Minimarket K.N,33.7877986,-7.1638844,,,,3.6(7),
Carrefour Market Ville Verte Casablanca,33.497449,-7.607468,,+212 80-0000003,,3.8(235),
BIM Stores,33.788763,-7.1599288,,,,4.0(445),
Xpress Market Bouskoura,33.4755316,-7.6066991,,,,3.8(294),
Carrefour Market Alia,33.696194,-7.391665,,+212 80-0000003,,3.6(580),
Opticien ALAIN AFFLELOU Mohammedia - C.C. Marjane,33.7078155,-7.3472148,,+212 5233-26054,,4.8(338),
BIM Stores,33.6269259,-7.1318181,,,,4.1(123),
Carrefour Market Beausejour,33.566915,-7.651258,,+212 80-0000003,,3.7(127),
PAUL,33.5382019,-7.7677605,,+212 669-073783,,3.4(401),
ولد التيباري,33.5638795,-7.6812743,,,,"3.6(1,094)",
Carrefour Market Amoud,33.548184,-7.628681,,+212 5229-40082,,4.1(295),
Carrefour Express Mohammed V,33.591821,-7.594877,,+212 80-0000003,,3.9(280),
Carrefour Market Lissassfa,33.537964,-7.680409,,+212 80-0000003,,3.7(528),
Carrefour Market Palmier,33.582366,-7.628472,Bd 9 Avril,+212 80-0000003,,4.0(202),
DOUNI PARA MARKET,33.6993385,-7.3643314,,+212 674-776646,,5.0(1),
Carrefour Market,33.562245,-7.668903,,+212 80-0000003,,3.8(740),
Bim بيم,33.551395,-7.6785336,,,,3.9(112),
nejma smart service,33.6133386,-7.1200485,,+212 696-421690,,文具店,
Fiesta boom,33.5763351,-7.6159501,"Marjane market Av 2 Mars, 100 avenue 2 mars Rue Lalande, Ruelle",+212 760-191608,,4.7(13),
PHARMACIE CALIFORNIA PLACE,33.5476607,-7.6292918,,+212 5225-24802,,4.9(45),
Carrefour Market Aïn Sebaâ,33.601924,-7.526926,,+212 80-0000003,,3.8(544),
Carrefour market,33.569155,-7.626207,,+212 80-0000003,,3.8(625),
Carrefour Market Val Fleuri,33.574132,-7.636032,,+212 80-0000003,,3.7(233),
Vapers Cloud : Cigarette électronique Mohammédia,33.7043741,-7.3962849,,+212 708-005777,,4.9(32),
Carrefour Market,33.597577,-7.628999,,+212 80-0000003,,3.8(553),
Carrefour Market Deroua,33.395009,-7.534167,,+212 80-0000003,,3.5(69),
Marjane Market Errahma,33.538307,-7.7184615,,,,市場,
Marjane Market Berrechid,33.2796124,-7.5887632,,+212 5290-22330,,3.6(676),
Papeterie Marjane وراقـة مرجـان,33.0056299,-7.6316431,,+212 5234-00459,,4.3(3),
Marjane Market,33.2434119,-8.5135377,,,,3.9(96),
Marjane Market Boujarrah,35.5864149,-5.3565478,,,,3.7(3),
مرجان,33.5667406,-7.58704,,,,4.0(2),
Souk Tnine Ourika,31.3755722,-7.7793653,,,,4.1(25),
Carrefour Market Essaouira,31.496139,-9.752088,,+212 80-0000003,,"4.0(1,943)",
Bonjour Market,31.4966518,-9.7541153,,,,4.3(15),
supermarché,31.5038756,-9.758327,,+212 5244-74749,,4.0(86),
Aswak Assalam,31.524719,-9.7539416,,+212 5247-85051,,"3.9(1,032)",
Supérette Almanar,30.4049914,-9.5577419,,,,3.8(23),
Biougra Market,30.2185619,-9.3694218,,,,3.9(8),
Rabiaa Market,30.4724723,-8.8837264,,,,4.4(9),
Supermarché Mhaita,30.4779226,-8.862845,,,,4.3(73),
Superétte Taroudant,30.4770616,-8.8631887,,+212 673-495769,,3.8(59),
